Liga,Klub,Link_Bezposredni
Bundesliga (NIE),Bayer Leverkusen,https://drive.google.com/uc?export=view&id=1ccTEuvcvdRYAC_kREIf4nus7MBevqCvE
Bundesliga (NIE),Bayer Leverkusen,https://drive.google.com/uc?export=view&id=1zPw8ix5tDtvX6QrqOuBXpxLm3LL7y2qV
Bundesliga (NIE),Bayer Leverkusen,https://drive.google.com/uc?export=view&id=10H4m5Llb4uWoBTe-t2dbhUX3X0z1lWfV
Bundesliga (NIE),Bayer Leverkusen,https://drive.google.com/uc?export=view&id=1NbgWGUaQG0ctacPiWrFaQiKeqQiClBoe
Bundesliga (NIE),Bayer Leverkusen,https://drive.google.com/uc?export=view&id=1WYBZgv738SHEtyggyWZi51UI32aLKrjy
Bundesliga (NIE),Bayer Leverkusen,https://drive.google.com/uc?export=view&id=1uvs_xnOaVQ9m1AfQeyMw2BlMNkg7x6JH
Bundesliga (NIE),Bayer Leverkusen,https://drive.google.com/uc?export=view&id=1xaNDyPgxwmJLHrYLGZUbR_jx6q7jAWyL
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1NFRAQcLGv0TM7HOOcTCSjsMefIwnbYvI
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1esImXyY5F-js37bWV2YAFclYK5vTyS8h
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1jSuMHrkAAYyXyWtj-fkLgPulPWGDz-K2
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=185m9325FnDgWIH79w5hpKzmNyam56SCP
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1PSIZMorRjvnEgl-a46IhwF7yYt54XvUc
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1be5wvgAvlPSZPMzSEFWlLF6LHnkurZla
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1s0qLfaCYbrsQTDjNXmG6kzihwZzChUYM
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1GbhyCkosa16UnrXGeLWdRtuxO_P04jUq
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1MBRmEhH88djkKKZtL3cqRrSalVZEiA4f
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1gCj28YjmJBoQAhQKaymBSYaxKPJg-q_L
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1hTLaaoMg2XnMLludjR5Hv-sEbvjHQlvK
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1TcxQUqjO30_ScVoIXQdXiRtaIsJTt-C3
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1Wd3X_4QqrGRiLktEW0Bv-PFIemn-_2k2
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1Ys-0l8VNkhekvrnWOsHjdVSCh9Hbztzw
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1liD58ysWsMVoOZMOcGPDcYVsthap6qWH
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1op-G8TIz9YJvCEnI1Sta3IB6dbmpkDK-
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=10F9_QADADDXFPf9r0TjCzoAngTfskAGt
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=14AIOwGkX6U8G27O4B-GONy1ffZKxG46K
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1T9Y7_mJwYL8m3mfcQkMVKLfsvOHxju7f
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1VphUNa_XldXCJZ03_UVyT6m1b3CTfmhm
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=19sfrfng9ON0kaVL0qt5YyKRpf_o-bDXr
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1RlAadUA-YHOrsrVAtPNquYdMM_Q7p5y-
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1Z_CB6-aa6GbLNNjuKRoOHJjb5gHW7Bvw
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=18RyRBDcyc1rKC3NQKe7Sxd6fScxr3RYv
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1bMRIq1q3y8OiI2akazWI2TvIT5vFbsgN
Bundesliga (NIE),Borussia Dortmund,https://drive.google.com/uc?export=view&id=1zbgonDJLBdJ9gZJTzIUdCo89ZHIw76YR
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=144O-5m1rlS5mslrJ-xevWf-6syAILfu7
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1HQvycdJiJ7dOY4MnxYQ0L04bWO-369AL
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1VZeWte6k-r2FBsMtFK4RnjEknfFaBaPl
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1AgwF2HyBEFNQUzJGBSPnIqUFJ3yLv8do
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1b2B9P7Y95ATREzWcx_y9Z3E0ftSnTBGG
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1lJ_Z8mpO1STJDi2p-IPimPOBN4MLTlT6
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=10m24gzomCAD5d7hZ_Nhdh6fXSAkM_b-V
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1F0U-5FM9M5c0AAqmFNBHpvKFyKg5ScOi
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1eBuL7a6SYJsGM7xcThGBgVy5z7ProSLn
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1eTgM09mQu9bUvP-Hiq1z4U0295BDUaDo
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1ovZTxKBpH_Y76GKQyQx-LPEybs1u6pah
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=19AXrMbBchN_ntMz5y9ry-6SAt0ymbsaW
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1BkV1cTKHX7DNUAkA_gejCk53VTAcZJ49
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1L0R0QYYsj8JKFfujqaO7aoTjGOKln3Vj
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1eKV2defQlJ8aWNNqF4vM1txRCZLVMWCL
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1032sdCHvL67IcPndLR-MPkVZwLYjscFn
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1Qz1Od8AWuRQ0brrlGHdtQIqsyGPLWjDa
