Liga,Klub,Link_Bezposredni
German Bundesliga,Exeter City,https://r2.thesportsdb.com/images/media/team/badge/98wt4h1521144923.png
German Bundesliga,Leyton Orient,https://r2.thesportsdb.com/images/media/team/badge/g4d9bi1688678797.png
German Bundesliga,Northampton Town,https://r2.thesportsdb.com/images/media/team/badge/aa42641684131255.png
German Bundesliga,Port Vale,https://www.thesportsdb.com/images/media/team/badge/s1ke3v1761710614.png
German Bundesliga,Burton Albion,https://r2.thesportsdb.com/images/media/team/badge/uvpqpw1423804499.png
German Bundesliga,Stevenage,https://r2.thesportsdb.com/images/media/team/badge/o4m2ci1596480474.png
German Bundesliga,Mansfield Town,https://www.thesportsdb.com/images/media/team/badge/c1fpes1761709071.png
German Bundesliga,Wycombe Wanderers,https://r2.thesportsdb.com/images/media/team/badge/avi3bu1688678934.png
German Bundesliga,Lincoln City,https://r2.thesportsdb.com/images/media/team/badge/x46tji1719860130.png
Italian Serie A,Bolton Wanderers,https://r2.thesportsdb.com/images/media/team/badge/yvxxrv1448808301.png
Italian Serie A,Wigan Athletic,https://r2.thesportsdb.com/images/media/team/badge/wtxwyw1448759640.png
Italian Serie A,Blackpool,https://r2.thesportsdb.com/images/media/team/badge/utywru1448754934.png
Italian Serie A,Doncaster Rovers,https://r2.thesportsdb.com/images/media/team/badge/ssvpvx1424033260.png
Italian Serie A,Barnsley,https://r2.thesportsdb.com/images/media/team/badge/xvxsuv1447437855.png
Italian Serie A,Peterborough United,https://www.thesportsdb.com/images/media/team/badge/63gt4u1761710001.png
Italian Serie A,Reading,https://r2.thesportsdb.com/images/media/team/badge/tprvtu1448811527.png
Italian Serie A,Cardiff City,https://r2.thesportsdb.com/images/media/team/badge/xtytpt1448808285.png
Italian Serie A,Plymouth Argyle,https://r2.thesportsdb.com/images/media/team/badge/wod5cj1689630278.png
Italian Serie A,Luton Town,https://r2.thesportsdb.com/images/media/team/badge/v977eh1681319466.png
Italian Serie A,Huddersfield Town,https://r2.thesportsdb.com/images/media/team/badge/y11fin1677527513.png
Italian Serie A,Bradford City,https://r2.thesportsdb.com/images/media/team/badge/trwxxv1424033151.png
Italian Serie A,Rotherham United,https://r2.thesportsdb.com/images/media/team/badge/sewy0z1752149213.png
Italian Serie A,AFC Wimbledon,https://r2.thesportsdb.com/images/media/team/badge/md7iqx1684129667.png
Italian Serie A,Stockport County,https://r2.thesportsdb.com/images/media/team/badge/jcsz9k1594450753.png
Italian Serie A,Exeter City,https://r2.thesportsdb.com/images/media/team/badge/98wt4h1521144923.png
Italian Serie A,Leyton Orient,https://r2.thesportsdb.com/images/media/team/badge/g4d9bi1688678797.png
Italian Serie A,Northampton Town,https://r2.thesportsdb.com/images/media/team/badge/aa42641684131255.png
Italian Serie A,Port Vale,https://www.thesportsdb.com/images/media/team/badge/s1ke3v1761710614.png
Italian Serie A,Burton Albion,https://r2.thesportsdb.com/images/media/team/badge/uvpqpw1423804499.png
Italian Serie A,Stevenage,https://r2.thesportsdb.com/images/media/team/badge/o4m2ci1596480474.png
Italian Serie A,Mansfield Town,https://www.thesportsdb.com/images/media/team/badge/c1fpes1761709071.png
Italian Serie A,Wycombe Wanderers,https://r2.thesportsdb.com/images/media/team/badge/avi3bu1688678934.png
Italian Serie A,Lincoln City,https://r2.thesportsdb.com/images/media/team/badge/x46tji1719860130.png
French Ligue 1,Bolton Wanderers,https://r2.thesportsdb.com/images/media/team/badge/yvxxrv1448808301.png
French Ligue 1,Wigan Athletic,https://r2.thesportsdb.com/images/media/team/badge/wtxwyw1448759640.png
French Ligue 1,Blackpool,https://r2.thesportsdb.com/images/media/team/badge/utywru1448754934.png
French Ligue 1,Doncaster Rovers,https://r2.thesportsdb.com/images/media/team/badge/ssvpvx1424033260.png
French Ligue 1,Barnsley,https://r2.thesportsdb.com/images/media/team/badge/xvxsuv1447437855.png
French Ligue 1,Peterborough United,https://www.thesportsdb.com/images/media/team/badge/63gt4u1761710001.png
French Ligue 1,Reading,https://r2.thesportsdb.com/images/media/team/badge/tprvtu1448811527.png
French Ligue 1,Cardiff City,https://r2.thesportsdb.com/images/media/team/badge/xtytpt1448808285.png
French Ligue 1,Plymouth Argyle,https://r2.thesportsdb.com/images/media/team/badge/wod5cj1689630278.png
French Ligue 1,Luton Town,https://r2.thesportsdb.com/images/media/team/badge/v977eh1681319466.png
French Ligue 1,Huddersfield Town,https://r2.thesportsdb.com/images/media/team/badge/y11fin1677527513.png
French Ligue 1,Bradford City,https://r2.thesportsdb.com/images/media/team/badge/trwxxv1424033151.png
French Ligue 1,Rotherham United,https://r2.thesportsdb.com/images/media/team/badge/sewy0z1752149213.png
French Ligue 1,AFC Wimbledon,https://r2.thesportsdb.com/images/media/team/badge/md7iqx1684129667.png
French Ligue 1,Stockport County,https://r2.thesportsdb.com/images/media/team/badge/jcsz9k1594450753.png
French Ligue 1,Exeter City,https://r2.thesportsdb.com/images/media/team/badge/98wt4h1521144923.png
French Ligue 1,Leyton Orient,https://r2.thesportsdb.com/images/media/team/badge/g4d9bi1688678797.png
French Ligue 1,Northampton Town,https://r2.thesportsdb.com/images/media/team/badge/aa42641684131255.png
French Ligue 1,Port Vale,https://www.thesportsdb.com/images/media/team/badge/s1ke3v1761710614.png
French Ligue 1,Burton Albion,https://r2.thesportsdb.com/images/media/team/badge/uvpqpw1423804499.png
French Ligue 1,Stevenage,https://r2.thesportsdb.com/images/media/team/badge/o4m2ci1596480474.png
French Ligue 1,Mansfield Town,https://www.thesportsdb.com/images/media/team/badge/c1fpes1761709071.png
French Ligue 1,Wycombe Wanderers,https://r2.thesportsdb.com/images/media/team/badge/avi3bu1688678934.png
